lambda,mu,avg_waiting_time_sim,avg_response_time_sim,utilization_sim,std_waiting_time,std_response_time,utilization_theory,avg_waiting_time_theory,avg_response_time_theory,error_response_time,error_waiting_time
0.1,1.0,0.1107891515674167,1.110621326757153,0.9090772397252924,0.00195437539465,0.0039357316437497,0.1,0.11111111111111112,1.1111111111111112,0.0004897843539581892,0.0003219595436944195
0.3500000000000001,1.0,0.5381504700970784,1.5378795937386929,0.7408076690458555,0.0078663198369179,0.009729880819876,0.3500000000000001,0.5384615384615387,1.5384615384615388,0.0005819447228458952,0.0003110683644602652
0.5000000000000001,1.0,0.9998777635391586,1.999730947328852,0.6667735029255923,0.0182526597882419,0.0203269285280685,0.5000000000000001,1.0000000000000004,2.0000000000000004,0.0002690526711484065,0.00012223646084186246
0.5500000000000002,1.0,1.2236759868721276,2.2236333346967765,0.645208615443377,0.0245379545496053,0.0265190480213135,0.5500000000000002,1.2222222222222228,2.222222222222223,0.0014111124745532777,0.0014537646499048762
0.6000000000000002,1.0,1.4986305186288456,2.498417537389229,0.625080187639751,0.032026885082077,0.0336002359490017,0.6000000000000002,1.5000000000000013,2.5000000000000013,0.0015824626107723283,0.0013694813711557785
0.6500000000000001,1.0,1.8549412140514971,2.854611696941479,0.6061810783788677,0.0393521213399275,0.0410924837929885,0.6500000000000001,1.8571428571428583,2.857142857142858,0.0025311602013791124,0.0022016430913611718
0.7000000000000002,1.0,2.321209858487251,3.320805094065329,0.5884106219601177,0.0563467614845679,0.0580348577422804,0.7000000000000002,2.3333333333333353,3.3333333333333353,0.012528239268006391,0.012123474846084115
0.7500000000000002,1.0,2.9890968208456594,3.9885494934846,0.5716237292278956,0.0842788340756649,0.085910340625052,0.7500000000000002,3.0000000000000036,4.0000000000000036,0.011450506515403358,0.010903179154344134
0.8000000000000002,1.0,3.9773838024413184,4.977085370146789,0.5555385602789429,0.1388353222703548,0.1405077264626023,0.8000000000000002,4.0000000000000036,5.0000000000000036,0.02291462985321413,0.022616197558685158
0.8500000000000002,1.0,5.651231642078702,6.651092008557477,0.5404287893020447,0.2570128976264126,0.2586400505145095,0.8500000000000002,5.666666666666676,6.666666666666676,0.015574658109199113,0.015435024587973523
0.9000000000000002,1.0,9.091783138450362,10.09205388479156,0.5260490278677596,0.6875568547012976,0.6892967144653681,0.9000000000000002,9.000000000000025,10.000000000000025,0.09205388479153598,0.09178313845033692
